ticker,last_eur,prevClose_eur,low5_eur,dma50_eur,change_intraday_pct,vs5d_pct,vol_x,currency,as_of
AAPL,205.203721,204.082625,197.253345,186.265724,0.005493,0.040305,0.91,USD,2025-09-05T08:55:32.575810Z
ADBE,294.660493,298.246297,304.964332,309.672937,-0.012023,-0.033787,1.402,USD,2025-09-05T08:55:33.057873Z
ADI,210.620936,209.285891,218.656898,203.527039,0.006379,-0.036751,0.893,USD,2025-09-05T08:55:33.545714Z
ADS.DE,174.899994,173.149994,166.350006,184.505999,0.010107,0.051398,0.307,EUR,2025-09-05T08:55:34.113045Z
ADYEN.AS,1391.599976,1377.800049,1434.400024,1489.179995,0.010016,-0.029838,0.127,EUR,2025-09-05T08:55:34.544465Z
AIR.PA,186.779999,186.860001,179.059998,180.0568,-0.000428,0.043114,0.115,EUR,2025-09-05T08:55:35.080314Z
AMD,138.459875,138.750857,143.029857,137.736729,-0.002097,-0.031951,0.606,USD,2025-09-05T08:55:35.495398Z
AMZN,201.694936,193.402245,196.08089,192.647596,0.042878,0.028631,1.698,USD,2025-09-05T08:55:35.952619Z
ARM,115.943779,112.469233,120.37683,125.709145,0.030893,-0.036826,0.855,USD,2025-09-05T08:55:36.464959Z
ASHR,26.418546,27.000489,26.444219,24.928598,-0.021553,-0.000971,1.198,USD,2025-09-05T08:55:36.932509Z
ASML,644.785381,630.570556,658.965993,642.655303,0.022543,-0.021519,1.16,USD,2025-09-05T08:55:37.418108Z
AVGO,261.960383,258.785372,256.953947,248.210069,0.012269,0.019484,1.647,USD,2025-09-05T08:55:37.926815Z
AXP,282.970262,277.031008,275.961258,267.127356,0.021439,0.025399,1.042,USD,2025-09-05T08:55:38.660775Z
BA,197.475848,198.870806,201.64359,193.653331,-0.007014,-0.020669,0.684,USD,2025-09-05T08:55:39.326676Z
BABA,112.041333,116.773906,104.604436,101.702073,-0.040528,0.071095,1.408,USD,2025-09-05T08:55:39.762082Z
BAC,43.320595,42.841349,43.115204,40.900735,0.011187,0.004764,0.985,USD,2025-09-05T08:55:40.513693Z
BEP,21.369325,21.104028,21.771552,22.131844,0.012571,-0.018475,1.207,USD,2025-09-05T08:55:41.025590Z
BIDU,84.048116,82.49912,76.902188,76.245618,0.018776,0.092922,0.889,USD,2025-09-05T08:55:41.451444Z
BMY,39.9573,40.6505,40.761755,40.267957,-0.017053,-0.019736,1.077,USD,2025-09-05T08:55:42.046210Z
BP,29.353939,29.490867,29.858861,28.127236,-0.004643,-0.01691,0.848,USD,2025-09-05T08:55:42.712487Z
C,83.081065,81.326672,82.901348,78.729491,0.021572,0.002168,0.982,USD,2025-09-05T08:55:43.771607Z
CAT,359.624273,355.259688,370.278994,355.102397,0.012286,-0.028775,0.553,USD,2025-09-05T08:55:44.490040Z
COP,81.959962,81.001471,83.78282,80.798302,0.011833,-0.021757,0.837,USD,2025-09-05T08:55:45.079736Z
COST,818.059233,812.821741,812.599225,824.540014,0.006444,0.006719,0.698,USD,2025-09-05T08:55:45.571394Z
CPNG,24.587133,24.244814,24.167792,25.196463,0.014119,0.017351,0.866,USD,2025-09-05T08:55:46.056166Z
CRM,208.823751,219.469918,214.086929,219.378166,-0.048509,-0.024584,3.016,USD,2025-09-05T08:55:46.492469Z
CRWD,352.983257,353.616567,361.669622,390.62186,-0.001791,-0.024017,0.769,USD,2025-09-05T08:55:46.920701Z
CVX,134.951103,135.267745,136.277595,131.003808,-0.002341,-0.009734,0.925,USD,2025-09-05T08:55:47.581876Z
DDOG,112.777322,113.479084,112.734529,117.309298,-0.006184,0.00038,0.509,USD,2025-09-05T08:55:48.000477Z
DE,406.419411,401.815203,421.977848,430.055241,0.011459,-0.03687,0.973,USD,2025-09-05T08:55:48.615388Z
DHR,170.329871,170.680752,175.438998,172.620335,-0.002056,-0.029122,1.227,USD,2025-09-05T08:55:49.139061Z
ENPH,31.253816,31.733065,32.143849,31.790231,-0.015103,-0.027689,0.709,USD,2025-09-05T08:55:49.552412Z
ENVX,7.719316,7.779222,9.003016,10.169557,-0.007701,-0.142586,0.866,USD,2025-09-05T08:55:49.957407Z
ETSY,44.681317,44.475927,46.581194,49.921381,0.004618,-0.040786,0.974,USD,2025-09-05T08:55:50.408171Z
FDX,192.794621,192.845967,198.725322,197.012347,-0.000266,-0.029844,1.076,USD,2025-09-05T08:55:50.911467Z
FSLR,172.76034,172.435145,163.654629,155.82218,0.001886,0.05564,0.525,USD,2025-09-05T08:55:51.325494Z
FTNT,65.417353,65.537165,66.863651,79.62192,-0.001828,-0.021631,0.527,USD,2025-09-05T08:55:51.746582Z
GE,241.566654,236.140885,233.932933,227.085329,0.022977,0.032632,1.104,USD,2025-09-05T08:55:52.354002Z
GOOGL,198.802341,197.398829,177.561379,165.780952,0.00711,0.119626,1.474,USD,2025-09-05T08:55:52.790041Z
GS,640.908635,625.21324,641.567565,616.583184,0.025104,-0.001027,1.107,USD,2025-09-05T08:55:53.362636Z
HAL,19.229825,18.476722,19.084339,18.536114,0.04076,0.007623,1.046,USD,2025-09-05T08:55:54.080826Z
HMC,29.251244,28.703533,28.994505,27.372592,0.019082,0.008855,0.863,USD,2025-09-05T08:55:54.666174Z
HON,184.133929,183.141198,189.345748,193.366639,0.005421,-0.027525,1.476,USD,2025-09-05T08:55:55.302915Z
IE00B4L5Y983,105.60572,104.886845,104.715687,102.940073,0.006854,0.0085,0.088,USD,2025-09-05T08:55:55.822200Z
IE00B66F4759,94.54795,94.462629,94.260878,94.112474,0.000903,0.003046,0.17,GBP,2025-09-05T08:55:56.387931Z
INTC,21.061238,20.5392,21.26663,19.367438,0.025417,-0.009658,0.439,USD,2025-09-05T08:55:56.932498Z
ISRG,388.978203,377.561834,403.210161,424.582742,0.030237,-0.035297,1.907,USD,2025-09-05T08:55:57.361776Z
JD,26.469894,26.70096,26.375755,27.385429,-0.008654,0.003569,1.139,USD,2025-09-05T08:55:57.816502Z
JPM,260.00916,256.320664,256.12382,250.390133,0.01439,0.01517,0.966,USD,2025-09-05T08:55:58.346422Z
KO,58.408349,59.04164,58.904715,59.627351,-0.010726,-0.008427,1.127,USD,2025-09-05T08:55:59.045808Z
LIN,404.271371,403.749319,413.103207,403.698145,0.001293,-0.021379,1.072,USD,2025-09-05T08:55:59.581345Z
LLY,635.782349,631.434922,628.302665,638.86257,0.006885,0.011905,0.367,USD,2025-09-05T08:56:00.263755Z
LMT,390.972231,384.305542,388.935423,381.794115,0.017347,0.005237,0.986,USD,2025-09-05T08:56:00.943507Z
MA,509.74872,507.729044,505.4868,488.283019,0.003978,0.008431,0.689,USD,2025-09-05T08:56:01.446905Z
MC.PA,493.850006,499.100006,504.100006,480.682,-0.010519,-0.020333,0.183,EUR,2025-09-05T08:56:01.993707Z
MCD,271.280031,270.766572,266.521785,259.060586,0.001896,0.017853,0.917,USD,2025-09-05T08:56:02.657159Z
MCHP,55.139194,54.155022,57.039071,59.076387,0.018173,-0.033308,1.176,USD,2025-09-05T08:56:03.161129Z
MDB,275.610377,267.762706,253.060068,196.427236,0.029308,0.08911,0.63,USD,2025-09-05T08:56:03.627473Z
